gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76937.43990773366	3.07241360548703	0.15542225863114953	19.76816983967868	5.5969760413065955e-87	1.2817075134592104e-84
ENSG00000154734	22865.5465812	3.442410032928922	0.17954885619591657	19.17255339779331	6.27518172070995e-82	7.185083070212893e-80
ENSG00000154723	7344.002209557488	2.5827100074092297	0.1640466042426625	15.743757814022226	7.580508707887421e-56	5.786454980354064e-54
ENSG00000180509	30232.723132937233	2.944117154754611	0.2002130904319486	14.704918386719083	5.9943147727058026e-49	3.431745207374072e-47
ENSG00000183145	9994.801764944317	2.8915113942058155	0.24899639358842265	11.612663752011304	3.553694900220224e-31	1.6275922643008625e-29
ENSG00000276289	11795.593995491536	2.860663947036454	0.4651081392860581	6.150535123783425	7.722195424846661e-10	2.9473045871498087e-8
ENSG00000277277	724.5096729891716	0.9286918832200278	0.2638768962593962	3.519413394597098	0.00043250221649207944	0.014149001082383742
ENSG00000185437	2256.749749774259	0.5166732588408193	0.19103657006381558	2.7045777605210617	0.006839126052443939	0.19576998325120776
ENSG00000160188	1876.146151946315	-0.5369997460911752	0.2192426022086196	-2.4493403229186033	0.014311815126246732	0.3479966615406553
ENSG00000154719	1373.4021625003409	-0.5880866306413751	0.24224370408714954	-2.4276652838407937	0.01519636076596748	0.3479966615406553
ENSG00000157557	3474.1416488263408	-0.49033816689291926	0.21026243311255638	-2.3320293579520905	0.019699146774132995	0.38205854266211264
ENSG00000160207	885.4258193726187	0.6336012857748926	0.2743928228756802	2.3091029828501015	0.020937867285948052	0.38205854266211264
ENSG00000177692	2181.3380099234055	0.45994003183410015	0.20034219546920215	2.295772145038737	0.021688912902216	0.38205854266211264
ENSG00000205929	1354.6095784004387	0.47340898606577814	0.2370561876593519	1.9970328163129982	0.045821618229931596	0.7013880004411943
ENSG00000186930	103.42477262712362	-1.1264663168604785	0.5643840199070056	-1.9959217077869924	0.04594244544374635	0.7013880004411943
ENSG00000184012	5522.297451665734	-0.39534143258131194	0.20826892081855752	-1.8982257699684857	0.05766634749699862	0.8051242975510335
ENSG00000183036	968.6134710273177	-0.5296378336879165	0.2813491024703786	-1.8824934184521829	0.05976905265662694	0.8051242975510335
ENSG00000141959	16187.454404497199	1.9645437011665143	1.089421969121851	1.8032899618777394	0.07134268828517963	0.8673284563910894
ENSG00000166265	1222.560456701199	0.5315126869342904	0.3013350035225028	1.763859759805829	0.07775559322202054	0.8673284563910894
ENSG00000187175	207.71882866643563	0.7791388931450451	0.4421638295860161	1.762104543636073	0.0780516357697389	0.8673284563910894
ENSG00000159128	2810.1289944192777	0.3468104554547836	0.19779528932395146	1.7533807637186614	0.07953667067341867	0.8673284563910894
ENSG00000244624	102.07023197591589	0.9876451755520773	0.5748843682116636	1.7179892690845293	0.08579857261250588	0.8930851421938112
ENSG00000274391	3083.2232088873075	0.2885344923232848	0.17292739254014006	1.6685297111405293	0.09521061896141234	0.8937887899667399
ENSG00000154721	3847.6287246498982	-0.32388817758536265	0.19674264203011474	-1.6462530656459629	0.09971166806121698	0.8937887899667399
ENSG00000197683	369.27070192220833	-0.6840039064312307	0.421718351564151	-1.6219448451656515	0.10481515824210903	0.8937887899667399
ENSG00000184221	1250.3403309723149	-0.4601540848025942	0.2849445561360163	-1.6148898966258642	0.10633454059180227	0.8937887899667399
ENSG00000154727	3764.9139450278826	0.274578647026413	0.17022360201594558	1.6130468617430151	0.1067343271478062	0.8937887899667399
ENSG00000142173	5506.528957125386	-0.3126033691534414	0.195787493208158	-1.5966462618788766	0.11034458057927556	0.8937887899667399
ENSG00000212938	216.08664756505186	-0.7131176238861052	0.4501924113789815	-1.5840285306048565	0.11318722667701074	0.8937887899667399
ENSG00000156239	3663.685688850413	-0.36509094662124647	0.23847743221925077	-1.5309245123269781	0.1257880502830186	0.9574840049127085
ENSG00000160182	178.72363686192742	-0.6949304925917841	0.4748776913783908	-1.4633883739087912	0.14336113810811887	0.9574840049127085
ENSG00000186925	146.39489999063466	0.6780921408601719	0.4721840583708524	1.4360758878640492	0.15098074839891487	0.9574840049127085
ENSG00000154654	5151.867885219743	0.32703567414248114	0.2291339239200569	1.4272686843899265	0.15350246342429855	0.9574840049127085
ENSG00000166351	1223.7802886846648	0.34804929173011345	0.24985970441137198	1.3929788820892903	0.1636261767593366	0.9574840049127085
ENSG00000182591	328.51371434293515	-0.500532950112382	0.37693107906018364	-1.327916369646089	0.18420573626760794	0.9574840049127085
ENSG00000159200	9649.707036980375	-0.233966138217284	0.17631106760270218	-1.3270076654773666	0.18450614697522985	0.9574840049127085
ENSG00000159263	4523.47986551102	-0.25340836037369535	0.19167394428230816	-1.3220803762480167	0.18614138759844817	0.9574840049127085
ENSG00000241837	2878.8020902611825	0.27509990260056577	0.2098421294692227	1.3109850881536844	0.18986280163419061	0.9574840049127085
ENSG00000154640	1588.9849945677056	-0.2442844970813778	0.18801770446633675	-1.2992632676520908	0.19385359567619334	0.9574840049127085
ENSG00000160181	720.3143632135987	0.3390294437665346	0.2626597189697745	1.290755373897085	0.1967885166529823	0.9574840049127085
ENSG00000232263	142.44340230045674	-0.6706930005413324	0.5251593786701241	-1.2771227703097434	0.20155890704594143	0.9574840049127085
ENSG00000206104	85.52424481564043	0.7910786750106171	0.6238628148586723	1.2680330613867814	0.20478614416448437	0.9574840049127085
ENSG00000183527	1893.464188747781	0.24112528560989982	0.19112237913968677	1.2616276895217338	0.20708278770210586	0.9574840049127085
